ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-20T09:19:39.479404+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T09:19:39.314730+00:00,2026-03-20T09:19:39.458211+00:00,2026-03-20T09:19:39.479428+00:00
2026-03-20T09:19:39.764044+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-20T09:19:39.485167+00:00,2026-03-20T09:19:39.720865+00:00,2026-03-20T09:19:39.764070+00:00
2026-03-20T09:26:49.102152+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-20T09:26:48.849273+00:00,2026-03-20T09:26:49.056379+00:00,2026-03-20T09:26:49.102176+00:00
2026-03-20T15:02:51.544311+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:02:51.299274+00:00,2026-03-20T15:02:51.521665+00:00,2026-03-20T15:02:51.544327+00:00
2026-03-20T15:02:51.640040+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:02:51.548411+00:00,2026-03-20T15:02:51.628183+00:00,2026-03-20T15:02:51.640056+00:00
2026-03-20T15:02:51.810206+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-20T15:02:51.642478+00:00,2026-03-20T15:02:51.800572+00:00,2026-03-20T15:02:51.810218+00:00
2026-03-20T15:27:35.442666+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:27:35.355081+00:00,2026-03-20T15:27:35.426880+00:00,2026-03-20T15:27:35.442677+00:00
2026-03-20T15:27:35.498068+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:27:35.445151+00:00,2026-03-20T15:27:35.485900+00:00,2026-03-20T15:27:35.498079+00:00
2026-03-20T15:27:35.567400+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-20T15:27:35.501234+00:00,2026-03-20T15:27:35.553693+00:00,2026-03-20T15:27:35.567419+00:00
2026-03-20T15:27:35.824778+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:27:35.569689+00:00,2026-03-20T15:27:35.811456+00:00,2026-03-20T15:27:35.824789+00:00
2026-03-20T15:28:12.866176+00:00,tshark,4,ep-tshark,kfjxwdVj8r,quarantine,compliant,100,[],2026-03-20T15:28:12.724919+00:00,2026-03-20T15:28:12.835522+00:00,2026-03-20T15:28:12.866190+00:00
2026-03-20T15:32:39.200978+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-20T15:32:39.104726+00:00,2026-03-20T15:32:39.159191+00:00,2026-03-20T15:32:39.200996+00:00
2026-03-20T15:35:53.567581+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:35:53.514379+00:00,2026-03-20T15:35:53.556066+00:00,2026-03-20T15:35:53.567591+00:00
2026-03-20T15:35:53.609316+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T15:35:53.570157+00:00,2026-03-20T15:35:53.599885+00:00,2026-03-20T15:35:53.609327+00:00
2026-03-20T15:35:53.664500+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-20T15:35:53.612867+00:00,2026-03-20T15:35:53.654412+00:00,2026-03-20T15:35:53.664510+00:00
